date,location,admission_count,disease_severity,is_weekend,is_holiday,year,month,day,day_of_week,day_of_year,week_of_year,quarter,population,admissions_per_100k
2017-03-06,Ludhiana Central,8,1.4482758620689655,0,0,2017,3,6,0,65,10,1,500000.0,1.5999999999999999
2017-03-06,Ludhiana South,6,1.5,0,0,2017,3,6,0,65,10,1,500000.0,1.2
2017-03-06,Punjab Urban,8,1.5,0,0,2017,3,6,0,65,10,1,500000.0,1.5999999999999999
2017-03-07,Ludhiana Central,4,1.5,0,0,2017,3,7,1,66,10,1,500000.0,0.7999999999999999
2017-03-07,Ludhiana South,7,1.5,0,0,2017,3,7,1,66,10,1,500000.0,1.4
2017-03-07,Punjab Urban,10,1.5,0,0,2017,3,7,1,66,10,1,500000.0,2.0
2017-03-08,Ludhiana Central,4,1.5,0,0,2017,3,8,2,67,10,1,500000.0,0.7999999999999999
2017-03-08,Ludhiana South,8,1.5,0,0,2017,3,8,2,67,10,1,500000.0,1.5999999999999999
2017-03-08,Punjab Urban,6,1.5,0,0,2017,3,8,2,67,10,1,500000.0,1.2
2017-03-09,Ludhiana Central,1,1.5,0,0,2017,3,9,3,68,10,1,500000.0,0.19999999999999998
2017-03-09,Ludhiana South,4,1.5,0,0,2017,3,9,3,68,10,1,500000.0,0.7999999999999999
2017-03-09,Punjab Urban,2,1.5,0,0,2017,3,9,3,68,10,1,500000.0,0.39999999999999997
2017-03-10,Ludhiana Central,6,1.5,0,0,2017,3,10,4,69,10,1,500000.0,1.2
2017-03-10,Ludhiana South,6,1.5,0,0,2017,3,10,4,69,10,1,500000.0,1.2
2017-03-10,Punjab Urban,7,1.5,0,0,2017,3,10,4,69,10,1,500000.0,1.4
2017-03-11,Ludhiana Central,3,1.5,1,0,2017,3,11,5,70,10,1,500000.0,0.6
2017-03-11,Ludhiana South,8,1.5,1,0,2017,3,11,5,70,10,1,500000.0,1.5999999999999999
2017-03-11,Punjab Urban,7,1.5,1,0,2017,3,11,5,70,10,1,500000.0,1.4
2017-03-12,Ludhiana Central,2,1.4482758620689655,1,0,2017,3,12,6,71,10,1,500000.0,0.39999999999999997
2017-03-12,Ludhiana South,5,1.4482758620689655,1,0,2017,3,12,6,71,10,1,500000.0,1.0
2017-03-12,Punjab Urban,3,1.4827586206896552,1,0,2017,3,12,6,71,10,1,500000.0,0.6
2017-04-01,Ludhiana Central,0,1.5,1,0,2017,4,1,5,91,13,2,500000.0,0.0
2017-04-01,Ludhiana South,0,1.5,1,0,2017,4,1,5,91,13,2,500000.0,0.0
2017-04-01,Punjab Urban,1,1.5,1,0,2017,4,1,5,91,13,2,500000.0,0.19999999999999998
2017-04-02,Ludhiana Central,1,1.5,1,0,2017,4,2,6,92,13,2,500000.0,0.19999999999999998
2017-04-02,Ludhiana South,0,1.5,1,0,2017,4,2,6,92,13,2,500000.0,0.0
2017-04-02,Punjab Urban,1,1.5,1,0,2017,4,2,6,92,13,2,500000.0,0.19999999999999998
2017-04-04,Ludhiana Central,7,1.5,0,0,2017,4,4,1,94,14,2,500000.0,1.4
2017-04-04,Ludhiana South,5,1.5,0,0,2017,4,4,1,94,14,2,500000.0,1.0
2017-04-04,Punjab Urban,8,1.5,0,0,2017,4,4,1,94,14,2,500000.0,1.5999999999999999
2017-04-05,Ludhiana Central,3,1.5,0,0,2017,4,5,2,95,14,2,500000.0,0.6
2017-04-05,Ludhiana South,7,1.4482758620689655,0,0,2017,4,5,2,95,14,2,500000.0,1.4
2017-04-05,Punjab Urban,5,1.5,0,0,2017,4,5,2,95,14,2,500000.0,1.0
2017-04-06,Ludhiana Central,5,1.5,0,0,2017,4,6,3,96,14,2,500000.0,1.0
2017-04-06,Ludhiana South,5,1.5,0,0,2017,4,6,3,96,14,2,500000.0,1.0
2017-04-06,Punjab Urban,6,1.4827586206896552,0,0,2017,4,6,3,96,14,2,500000.0,1.2
2017-04-07,Ludhiana Central,4,1.4827586206896552,0,0,2017,4,7,4,97,14,2,500000.0,0.7999999999999999
2017-04-07,Ludhiana South,3,1.5,0,0,2017,4,7,4,97,14,2,500000.0,0.6
2017-04-07,Punjab Urban,4,1.4285714285714286,0,0,2017,4,7,4,97,14,2,500000.0,0.7999999999999999
2017-04-08,Ludhiana Central,4,1.5,1,0,2017,4,8,5,98,14,2,500000.0,0.7999999999999999
2017-04-08,Ludhiana South,5,1.4827586206896552,1,0,2017,4,8,5,98,14,2,500000.0,1.0
2017-04-08,Punjab Urban,7,1.4482758620689655,1,0,2017,4,8,5,98,14,2,500000.0,1.4
2017-04-09,Ludhiana Central,6,1.5,1,0,2017,4,9,6,99,14,2,500000.0,1.2
2017-04-09,Ludhiana South,6,1.5,1,0,2017,4,9,6,99,14,2,500000.0,1.2
2017-04-09,Punjab Urban,7,1.4827586206896552,1,0,2017,4,9,6,99,14,2,500000.0,1.4
2017-04-10,Ludhiana Central,6,1.4482758620689655,0,0,2017,4,10,0,100,15,2,500000.0,1.2
2017-04-10,Ludhiana South,7,1.5,0,0,2017,4,10,0,100,15,2,500000.0,1.4
2017-04-10,Punjab Urban,10,1.4482758620689655,0,0,2017,4,10,0,100,15,2,500000.0,2.0
2017-04-11,Ludhiana Central,4,1.5,0,0,2017,4,11,1,101,15,2,500000.0,0.7999999999999999
